,real_time,giWecRunContion,grGenPowerForProcess,grGenSpeedForProcess,grNacelleFanRunningHours,grTemp1GearOil_1sec,grTempGearBearDE_1sec,grTempGearBearNDE_1sec,grTempGearOilHeaterSystem_1sec,grTempNacelle_1sec,grWindSpeed
0,2017-11-17 08:53:00,3,1276.5,1753.1,0.0,66.6,72.0,75.5,-1.0,1.2,14.75
1,2017-11-17 08:53:01,3,1271.4,1751.2,0.0,66.6,72.0,75.5,-1.0,1.2,14.22
2,2017-11-17 08:53:02,3,1266.7,1745.5,0.0,66.6,72.0,75.5,-1.0,1.2,13.12
3,2017-11-17 08:53:03,3,1281.2,1747.8,0.0,66.62,72.0,75.5,-1.0,1.2,12.71
4,2017-11-17 08:53:04,3,1274.5,1751.1,0.0,66.62,72.0,75.5,-1.0,1.2,12.83
5,2017-11-17 08:53:05,3,1275.5,1747.9,0.0,66.61,72.0,75.5,-1.0,1.2,13.93
6,2017-11-17 08:53:06,3,1277.1,1750.3,0.0,66.6,72.0,75.5,-1.0,1.2,14.15
7,2017-11-17 08:53:07,3,1268.6,1751.2,0.0,66.6,72.0,75.5,-1.0,1.2,13.79
8,2017-11-17 08:53:08,3,1267.2,1749.1,0.0,66.62,72.0,75.5,-1.0,1.2,12.42
9,2017-11-17 08:53:09,3,1280.8,1748.8,0.0,66.61,72.0,75.5,-1.0,1.2,13.26
10,2017-11-17 08:53:10,3,1265.3,1744.4,0.0,66.65,72.0,75.5,-1.0,1.2,14.01
11,2017-11-17 08:53:11,3,1276.2,1746.0,0.0,66.65,72.0,75.5,-1.0,1.2,12.27
12,2017-11-17 08:53:12,3,1280.4,1749.4,0.0,66.7,72.0,75.5,-1.0,1.18,12.27
13,2017-11-17 08:53:13,3,1270.6,1746.1,0.0,66.68,72.0,75.5,-1.0,1.2,13.68
14,2017-11-17 08:53:14,3,1280.8,1744.8,0.0,66.67,72.0,75.5,-1.0,1.2,13.91
15,2017-11-17 08:53:15,3,1276.2,1747.3,0.0,66.7,72.0,75.5,-1.0,1.15,13.65
16,2017-11-17 08:53:16,3,1272.5,1740.5,0.0,66.7,72.0,75.5,-1.0,1.17,14.3
17,2017-11-17 08:53:17,3,1278.1,1745.1,0.0,66.7,72.0,75.5,-1.0,1.16,13.43
18,2017-11-17 08:53:18,3,1271.1,1747.3,0.0,66.7,72.04,75.5,-1.0,1.16,13.31
19,2017-11-17 08:53:19,3,1263.9,1746.1,0.0,66.7,72.07,75.5,-1.0,1.2,14.02
20,2017-11-17 08:53:20,3,1273.1,1745.4,0.0,66.7,72.07,75.5,-1.0,1.2,11.69
21,2017-11-17 08:53:21,3,1275.7,1745.3,0.0,66.7,72.1,75.5,-1.0,1.2,12.95
22,2017-11-17 08:53:22,3,1274.9,1743.4,0.0,66.7,72.07,75.52,-1.0,1.15,13.38
23,2017-11-17 08:53:23,3,1270.1,1748.1,0.0,66.7,72.1,75.5,-1.0,1.16,11.9
24,2017-11-17 08:53:24,3,1273.0,1749.4,0.0,66.7,72.07,75.55,-1.0,1.18,13.12
25,2017-11-17 08:53:25,3,1279.6,1754.0,0.0,66.7,72.1,75.55,-1.0,1.17,12.51
26,2017-11-17 08:53:26,3,1278.9,1754.3,0.0,66.75,72.1,75.57,-1.0,1.17,13.87
27,2017-11-17 08:53:27,3,1274.3,1753.1,0.0,66.71,72.1,75.55,-1.0,1.14,11.11
28,2017-11-17 08:53:28,3,1264.1,1752.0,0.0,66.72,72.1,75.53,-1.0,1.15,11.51
29,2017-11-17 08:53:29,3,1280.5,1752.6,0.0,66.75,72.1,75.55,-1.0,1.13,12.35
30,2017-11-17 08:53:30,3,1268.4,1746.3,0.0,66.79,72.1,75.6,-1.0,1.2,14.3
31,2017-11-17 08:53:31,3,1297.4,1738.5,0.0,66.8,72.1,75.6,-1.0,1.16,13.76
32,2017-11-17 08:53:32,3,1327.3,1738.9,0.0,66.8,72.1,75.6,-1.0,1.15,13.2
33,2017-11-17 08:53:33,3,1326.5,1740.9,0.0,66.8,72.1,75.6,-1.0,1.13,12.65
