,real_time,giWecRunContion,grCurrentVibrationY_PCH,grCurrentVibrationZ_PCH,grGenPowerForProcess,grGenSpeedForProcess,grWindSpeed
0,2017-11-15 14:41:13,3,0.0,-0.03,70.6,1030.7,2.75
1,2017-11-15 14:41:14,3,0.0,-0.03,72.0,1030.9,2.7
2,2017-11-15 14:41:15,3,0.0,-0.06,72.3,1031.5,2.53
3,2017-11-15 14:41:16,3,0.0,0.02,69.6,1031.0,2.54
4,2017-11-15 14:41:17,3,0.0,0.07,69.5,1031.3,2.65
5,2017-11-15 14:41:18,3,0.0,-0.03,69.2,1032.0,2.61
6,2017-11-15 14:41:20,3,0.0,-0.01,71.8,1031.6,2.91
7,2017-11-15 14:41:21,3,0.0,-0.08,72.5,1031.6,2.89
8,2017-11-15 14:41:22,3,0.0,-0.03,71.9,1032.1,2.91
9,2017-11-15 14:41:23,3,0.0,-0.03,72.3,1031.8,2.64
10,2017-11-15 14:41:24,3,0.0,0.05,74.3,1031.8,2.69
11,2017-11-15 14:41:25,3,0.0,0.06,73.6,1031.8,3.08
12,2017-11-15 14:41:26,3,0.0,-0.03,75.1,1031.8,3.23
13,2017-11-15 14:41:27,3,0.0,-0.05,72.7,1032.4,3.56
14,2017-11-15 14:41:28,3,0.0,-0.03,74.8,1032.6,3.41
15,2017-11-15 14:41:29,3,0.0,-0.03,74.4,1032.0,3.48
16,2017-11-15 14:41:30,3,0.0,0.05,75.5,1031.4,3.39
17,2017-11-15 14:41:31,3,0.0,0.05,74.3,1031.3,3.42
18,2017-11-15 14:41:32,3,0.0,-0.01,69.7,1029.8,3.26
19,2017-11-15 14:41:33,3,0.0,-0.05,71.8,1029.6,3.17
20,2017-11-15 14:41:34,3,0.0,-0.07,64.5,1029.0,3.16
21,2017-11-15 14:41:35,3,0.0,-0.01,69.4,1028.3,3.12
22,2017-11-15 14:41:36,3,0.0,0.01,67.1,1025.7,3.12
23,2017-11-15 14:41:37,3,0.0,-0.09,64.6,1024.7,3.08
24,2017-11-15 14:41:38,3,0.0,0.02,60.0,1023.2,3.2
