,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iWindSpeed
0,2017-11-15 08:13:00,3,1843,1729,57.8,59.3,62.5,16.5,10.38
1,2017-11-15 08:13:01,3,1848,1731,57.8,59.3,62.5,16.5,8.62
2,2017-11-15 08:13:02,3,1849,1729,57.8,59.3,62.5,16.5,10.18
3,2017-11-15 08:13:03,3,1838,1729,57.7,59.3,62.5,16.5,9.87
4,2017-11-15 08:13:04,3,1855,1732,57.8,59.3,62.5,16.5,8.75
5,2017-11-15 08:13:05,3,1849,1730,57.8,59.3,62.4,16.5,10.19
6,2017-11-15 08:13:06,3,1868,1731,57.7,59.3,62.4,16.6,10.49
7,2017-11-15 08:13:07,3,1885,1734,57.7,59.3,62.4,16.5,9.95
8,2017-11-15 08:13:08,3,1866,1731,57.7,59.3,62.5,16.5,10.61
9,2017-11-15 08:13:09,3,1881,1732,57.7,59.3,62.5,16.5,10.72
10,2017-11-15 08:13:10,3,1877,1733,57.7,59.3,62.4,16.5,9.23
11,2017-11-15 08:13:11,3,1866,1729,57.7,59.3,62.5,16.6,10.39
12,2017-11-15 08:13:12,3,1881,1733,57.7,59.3,62.5,16.5,10.15
13,2017-11-15 08:13:13,3,1873,1733,57.7,59.3,62.4,16.5,9.63
14,2017-11-15 08:13:14,3,1883,1732,57.8,59.3,62.4,16.5,10.11
15,2017-11-15 08:13:15,3,1895,1735,57.8,59.3,62.5,16.5,11.13
16,2017-11-15 08:13:16,3,1896,1736,57.7,59.3,62.4,16.5,9.81
17,2017-11-15 08:13:17,3,1896,1735,57.7,59.3,62.4,16.5,10.73
18,2017-11-15 08:13:18,3,1905,1738,57.7,59.3,62.4,16.5,11.5
19,2017-11-15 08:13:19,3,1937,1740,57.8,59.3,62.4,16.5,10.81
20,2017-11-15 08:13:20,3,1940,1740,57.8,59.3,62.4,16.5,11.36
21,2017-11-15 08:13:21,3,1958,1742,57.8,59.3,62.4,16.5,10.96
22,2017-11-15 08:13:22,3,1953,1740,57.8,59.3,62.4,16.5,11.17
23,2017-11-15 08:13:23,3,1966,1742,57.8,59.3,62.5,16.5,10.65
24,2017-11-15 08:13:24,3,1978,1743,57.8,59.3,62.4,16.5,11.67
25,2017-11-15 08:13:25,3,1978,1742,57.8,59.3,62.5,16.5,10.98
26,2017-11-15 08:13:26,3,1979,1743,57.8,59.3,62.5,16.5,11.04
27,2017-11-15 08:13:27,3,1984,1745,57.8,59.3,62.4,16.5,12.11
