,real_time,WT_Runcode,bYawCCW_RemCOM,bYawCW_RemCOM,iCableTwistTotal,iGenPower,iGenSpeed,iNacellePositionTotal,iTurbineOperationMode,iVaneDiiection,iWindSpeed,iYPLevel
0,2017-11-15 01:36:04,3,0,0,35,431,1227,28,20,6.81,6.46,0
1,2017-11-15 01:36:05,3,0,0,35,437,1228,28,20,20.38,6.93,0
2,2017-11-15 01:36:06,3,0,0,35,439,1231,28,20,15.29,6.77,0
3,2017-11-15 01:36:07,3,0,0,35,435,1233,28,20,24.89,7.45,0
4,2017-11-15 01:36:08,3,0,0,35,447,1237,28,20,20.67,8.54,0
5,2017-11-15 01:36:09,3,0,0,35,440,1236,28,20,21.69,8.36,0
6,2017-11-15 01:36:10,3,0,0,35,449,1241,28,20,6.04,7.33,0
7,2017-11-15 01:36:11,3,0,0,35,439,1242,28,20,14.88,7.94,0
8,2017-11-15 01:36:12,3,0,0,35,455,1248,28,20,-7.64,6.8,0
9,2017-11-15 01:36:13,3,0,0,35,454,1249,28,20,-2.59,5.69,0
10,2017-11-15 01:36:14,3,0,0,35,453,1249,28,20,-6.75,6.01,0
11,2017-11-15 01:36:15,3,0,0,35,449,1248,28,20,-9.55,5.11,0
12,2017-11-15 01:36:16,3,0,0,35,452,1246,28,20,6.15,5.26,0
13,2017-11-15 01:36:17,3,0,0,35,449,1244,28,20,18.3,6.72,0
14,2017-11-15 01:36:18,3,0,0,35,445,1237,28,20,10.69,6.6,0
15,2017-11-15 01:36:19,3,0,0,35,440,1235,28,20,11.03,5.84,0
16,2017-11-15 01:36:20,3,0,0,35,438,1229,28,20,11.05,5.79,0
17,2017-11-15 01:36:21,3,0,0,35,432,1223,28,20,18.64,6.01,0
18,2017-11-15 01:36:22,3,0,0,35,424,1216,28,20,23.15,5.65,0
19,2017-11-15 01:36:23,3,0,0,35,417,1209,28,20,6.41,5.98,0
20,2017-11-15 01:36:24,3,0,0,35,413,1204,28,20,18.5,6.23,0
21,2017-11-15 01:36:25,3,0,0,35,403,1196,28,20,-4.4,5.7,0
22,2017-11-15 01:36:26,3,0,0,35,399,1191,28,20,6.02,5.79,0
23,2017-11-15 01:36:27,3,0,0,35,394,1185,28,20,9.67,4.93,0
24,2017-11-15 01:36:28,3,0,0,35,389,1179,28,20,15.87,5.56,0
25,2017-11-15 01:36:29,3,0,0,35,385,1172,28,20,21.69,5.07,0
26,2017-11-15 01:36:30,3,0,0,35,376,1167,28,20,13.76,4.71,0
27,2017-11-15 01:36:31,3,0,0,35,373,1164,28,20,23.16,5.25,0
28,2017-11-15 01:36:32,3,0,0,35,366,1158,28,20,12.52,4.88,0
29,2017-11-15 01:36:33,3,0,0,35,364,1156,28,20,14.03,4.97,0
30,2017-11-15 01:36:34,3,0,0,35,362,1152,28,20,7.32,4.67,0
31,2017-11-15 01:36:35,3,0,0,35,360,1147,28,20,23.92,5.61,0
32,2017-11-15 01:36:36,3,0,0,35,354,1144,28,20,3.57,5.12,0
33,2017-11-15 01:36:37,3,0,0,35,350,1138,28,20,13.45,4.84,0
34,2017-11-15 01:36:38,3,0,0,35,352,1136,28,20,17.16,4.7,0
35,2017-11-15 01:36:39,3,0,0,35,345,1130,28,20,15.59,4.65,0
36,2017-11-15 01:36:40,3,0,0,35,338,1126,28,20,23.19,5.16,0
37,2017-11-15 01:36:41,3,0,0,35,333,1122,28,20,21.14,6.16,0
38,2017-11-15 01:36:42,3,0,0,35,331,1119,28,20,18.45,6.5,0
39,2017-11-15 01:36:43,3,0,0,35,330,1117,28,20,20.29,6.1,0
40,2017-11-15 01:36:44,3,0,0,35,323,1114,28,20,25.15,7.06,0
41,2017-11-15 01:36:45,3,0,0,35,322,1112,28,20,17.85,7.19,0
42,2017-11-15 01:36:46,3,0,0,35,321,1111,28,20,22.36,7.63,0
43,2017-11-15 01:36:47,3,0,0,35,323,1111,28,20,17.99,6.84,0
44,2017-11-15 01:36:48,3,0,0,35,320,1107,28,20,20.53,6.86,0
45,2017-11-15 01:36:49,3,0,0,35,319,1105,28,20,25.78,6.72,0
46,2017-11-15 01:36:50,3,0,0,35,316,1103,28,20,31.28,5.73,0
47,2017-11-15 01:36:51,3,0,0,35,312,1101,28,20,20.34,6.41,0
48,2017-11-15 01:36:52,3,0,0,35,307,1096,28,20,25.65,5.48,0
49,2017-11-15 01:36:53,3,0,0,35,304,1096,28,20,29.37,6.01,0
50,2017-11-15 01:36:54,3,0,0,35,295,1093,28,20,30.3,5.7,0
51,2017-11-15 01:36:55,3,0,0,35,294,1093,28,20,18.79,4.93,0
52,2017-11-15 01:36:56,3,0,0,35,288,1090,28,20,34.41,5.79,0
53,2017-11-15 01:36:57,3,0,0,35,283,1089,28,20,28.32,5.07,0
54,2017-11-15 01:36:58,3,0,0,35,280,1086,28,20,29.9,5.84,0
55,2017-11-15 01:36:59,3,0,0,35,275,1085,28,20,19.4,5.16,0
56,2017-11-15 01:37:00,3,0,0,35,267,1082,28,20,9.72,5.02,0
57,2017-11-15 01:37:01,3,0,0,35,262,1081,28,20,18.99,5.66,0
58,2017-11-15 01:37:02,3,0,0,35,256,1077,28,20,3.65,5.42,0
59,2017-11-15 01:37:03,3,0,0,35,250,1074,28,20,13.1,5.34,0
60,2017-11-15 01:37:04,3,0,0,35,245,1073,28,20,10.32,5.12,0
61,2017-11-15 01:37:05,3,0,0,35,235,1068,28,20,15.19,4.79,0
62,2017-11-15 01:37:06,3,0,0,35,227,1065,28,20,35.27,5.7,0
63,2017-11-15 01:37:07,3,0,1,35,221,1062,28,20,41.06,5.3,0
64,2017-11-15 01:37:08,3,0,1,35,212,1060,28,20,16.79,5.04,0
65,2017-11-15 01:37:09,3,0,1,35,202,1054,28,20,22.22,5.07,0
66,2017-11-15 01:37:10,3,0,1,36,190,1051,29,20,24.16,5.75,0
67,2017-11-15 01:37:11,3,0,1,36,180,1049,29,20,18.1,5.83,0
68,2017-11-15 01:37:12,3,0,1,36,176,1045,29,20,14.71,5.84,0
69,2017-11-15 01:37:13,3,0,1,37,168,1043,30,20,19.94,6.54,0
70,2017-11-15 01:37:14,3,0,1,37,160,1040,30,20,15.4,5.97,0
71,2017-11-15 01:37:15,3,0,1,37,154,1038,30,20,32.34,6.2,0
72,2017-11-15 01:37:16,3,0,1,38,149,1037,31,20,24.6,5.92,0
73,2017-11-15 01:37:17,3,0,1,38,147,1034,31,20,11.4,5.34,0
74,2017-11-15 01:37:18,3,0,1,38,140,1033,31,20,36.55,5.38,0
75,2017-11-15 01:37:19,3,0,1,38,135,1031,31,20,15.45,5.14,0
76,2017-11-15 01:37:20,3,0,1,39,131,1029,32,20,19.33,5.03,0
77,2017-11-15 01:37:21,3,0,1,39,124,1027,32,20,25.57,5.11,0
78,2017-11-15 01:37:22,3,0,1,39,118,1024,32,20,24.43,5.26,0
79,2017-11-15 01:37:23,3,0,1,40,113,1024,33,20,22.44,5.84,0
80,2017-11-15 01:37:24,3,0,1,40,105,1021,33,20,26.66,5.74,0
81,2017-11-15 01:37:25,3,0,1,40,100,1018,33,20,22.49,5.43,0
82,2017-11-15 01:37:26,3,0,1,41,101,1017,34,20,30.79,5.29,0
83,2017-11-15 01:37:27,3,0,1,41,89,1014,34,20,34.27,4.7,0
84,2017-11-15 01:37:28,3,0,1,41,88,1012,34,20,6.81,4.88,0
85,2017-11-15 01:37:29,3,0,1,41,78,1009,34,20,33.14,4.57,0
86,2017-11-15 01:37:30,3,0,1,42,75,1007,35,20,37.93,4.28,0
87,2017-11-15 01:37:31,3,0,1,42,66,1005,35,20,22.66,4.09,0
88,2017-11-15 01:37:32,3,0,1,42,63,1003,35,20,25.43,4.14,0
