,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iVaneDiiection,iWindSpeed
0,2017-11-16 07:33:00,3,79,1100,49.8,52.3,51.3,9.8,21.97,4.35
1,2017-11-16 07:33:01,3,80,1098,49.8,52.3,51.3,9.8,24.57,4.34
2,2017-11-16 07:33:03,3,92,1103,49.8,52.3,51.3,9.8,26.08,4.51
3,2017-11-16 07:33:04,3,92,1103,49.8,52.3,51.3,9.8,26.08,4.51
4,2017-11-16 07:33:05,3,85,1103,49.8,52.3,51.3,9.8,22.21,4.2
5,2017-11-16 07:33:06,3,91,1102,49.8,52.3,51.3,9.8,25.27,4.05
6,2017-11-16 07:33:07,3,91,1102,49.8,52.3,51.3,9.8,25.27,4.05
7,2017-11-16 07:33:08,3,93,1103,49.8,52.3,51.3,9.8,14.27,4.02
8,2017-11-16 07:33:09,3,107,1103,49.8,52.3,51.3,9.8,19.12,4.33
9,2017-11-16 07:33:10,3,109,1103,49.8,52.3,51.3,9.8,22.23,4.41
10,2017-11-16 07:33:12,3,110,1103,49.8,52.3,51.3,9.8,20.16,4.35
11,2017-11-16 07:33:13,3,116,1103,49.8,52.3,51.3,9.8,24.96,4.18
12,2017-11-16 07:33:14,3,116,1103,49.8,52.3,51.3,9.8,24.96,4.18
13,2017-11-16 07:33:15,3,115,1102,49.8,52.3,51.3,9.8,28.25,4.22
14,2017-11-16 07:33:16,3,115,1105,49.8,52.3,51.3,9.8,30.13,4.09
15,2017-11-16 07:33:17,3,125,1102,49.8,52.3,51.3,9.8,26.61,4.18
16,2017-11-16 07:33:18,3,125,1102,49.8,52.3,51.3,9.8,26.61,4.18
17,2017-11-16 07:33:19,3,120,1100,49.8,52.3,51.3,9.8,28.58,4.33
18,2017-11-16 07:33:20,3,127,1102,49.8,52.3,51.3,9.8,26.9,4.2
19,2017-11-16 07:33:22,3,122,1099,49.8,52.3,51.3,9.8,28.64,4.31
20,2017-11-16 07:33:23,3,118,1099,49.8,52.3,51.3,9.8,25.88,4.42
21,2017-11-16 07:33:24,3,106,1100,49.8,52.3,51.3,9.8,23.47,4.3
22,2017-11-16 07:33:25,3,106,1100,49.8,52.3,51.3,9.8,23.47,4.3
23,2017-11-16 07:33:26,3,110,1099,49.8,52.3,51.3,9.8,25.42,4.66
24,2017-11-16 07:33:27,3,109,1099,49.8,52.3,51.3,9.8,25.2,4.49
25,2017-11-16 07:33:28,3,102,1098,49.8,52.3,51.3,9.8,25.37,4.09
26,2017-11-16 07:33:29,3,102,1098,49.8,52.3,51.3,9.8,25.37,4.09
27,2017-11-16 07:33:30,3,106,1099,49.8,52.3,51.3,9.8,23.79,3.98
28,2017-11-16 07:33:31,3,115,1099,49.8,52.3,51.3,9.8,22.8,4.04
29,2017-11-16 07:33:32,3,115,1099,49.8,52.3,51.3,9.8,22.8,4.04
30,2017-11-16 07:33:33,3,107,1099,49.8,52.3,51.3,9.8,29.72,3.95
31,2017-11-16 07:33:34,3,105,1099,49.8,52.3,51.3,9.8,25.4,4.01
32,2017-11-16 07:33:36,3,106,1100,49.8,52.3,51.3,9.8,26.09,4.1
33,2017-11-16 07:33:37,3,108,1099,49.8,52.3,51.3,9.8,20.86,4.09
34,2017-11-16 07:33:38,3,109,1100,49.8,52.3,51.3,9.8,27.26,4.13
35,2017-11-16 07:33:40,3,102,1099,49.8,52.3,51.3,9.8,24.75,4.25
36,2017-11-16 07:33:41,3,113,1099,49.8,52.3,51.3,9.8,15.21,4.61
37,2017-11-16 07:33:42,3,101,1103,49.8,52.3,51.3,9.8,20.42,4.57
38,2017-11-16 07:33:43,3,108,1100,49.8,52.3,51.3,9.8,21.12,4.56
39,2017-11-16 07:33:44,3,108,1100,49.8,52.3,51.3,9.8,21.12,4.56
40,2017-11-16 07:33:45,3,108,1102,49.8,52.3,51.3,9.8,21.33,4.66
41,2017-11-16 07:33:46,3,116,1100,49.8,52.3,51.3,9.8,17.94,4.56
42,2017-11-16 07:33:47,3,116,1100,49.8,52.3,51.3,9.8,17.94,4.56
43,2017-11-16 07:33:48,3,116,1099,49.8,52.3,51.3,9.8,24.14,4.38
44,2017-11-16 07:33:49,3,107,1103,49.8,52.3,51.3,9.8,20.13,4.11
45,2017-11-16 07:33:50,3,113,1102,49.8,52.3,51.3,9.8,20.9,4.18
46,2017-11-16 07:33:51,3,113,1102,49.8,52.3,51.3,9.8,20.9,4.18
47,2017-11-16 07:33:52,3,110,1100,49.8,52.3,51.3,9.8,21.99,4.0
48,2017-11-16 07:33:53,3,106,1100,49.8,52.3,51.3,9.8,16.22,3.65
49,2017-11-16 07:33:54,3,106,1100,49.8,52.3,51.3,9.8,16.22,3.65
50,2017-11-16 07:33:55,3,104,1096,49.8,52.3,51.3,9.8,13.94,3.55
51,2017-11-16 07:33:56,3,103,1098,49.8,52.3,51.3,9.8,19.54,3.42
52,2017-11-16 07:33:58,3,92,1095,49.8,52.3,51.3,9.8,12.99,3.24
53,2017-11-16 07:33:59,3,85,1095,49.8,52.3,51.3,9.8,16.79,3.22
54,2017-11-16 07:34:00,3,85,1095,49.8,52.3,51.3,9.8,25.65,3.22
55,2017-11-16 07:34:01,3,90,1094,49.8,52.3,51.3,9.8,21.45,3.17
56,2017-11-16 07:34:03,3,80,1096,49.8,52.3,51.3,9.8,18.69,2.99
